Product Name,Price,Rating,Seller Name
"Boult Newly Launched AmpVault v10 Powerbank with 10000 mAh, 22.5W Fast Charging, LED Display, USB & Type C Input/Output, Overcharge Protection, iPhone & Andriod Mobile Power Bank (Jet Black)","1,099",3.9 out of 5 stars,400+ bought in past month
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Black)","1,299",4.0 out of 5 stars,800+ bought in past month
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Lavender)",668,3.0 out of 5 stars,500+ bought in past month
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Olive, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)","2,099",4.1 out of 5 stars,500+ bought in past month
"boAt Energyshroom PB330 MagnaCharge 10000 mAh Magnetic Wireless Power Bank w/ 15W Wireless Charging, Metal Stand,Magnacharge Ring for iPhone and Android Phones w/Wireless Charge(White)","1,999",3.9 out of 5 stars,400+ bought in past month
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Blue)",899,3.9 out of 5 stars,400+ bought in past month
E GATE 204B Powerbank | 20000mAh | 22.5W Fast Charging | QC + PD | Dual Input Port : Type C & Micro USB | Triple Output Port : 2X USB & Type C | LED Indicator| for All iPhone & Android (Black),"1,080",4.9 out of 5 stars,100+ bought in past month
"Stuffcool Snap 5000mAh Super Compact Type C Power Bank with 20W PD PPS Output, Charges iPhone 15, Pixel 6/7 50% in 30 mins, Compatible with Samsung Type C Phones, Tablets","1,099",3.5 out of 5 stars,100+ bought in past month
"boAt Energyshroom PB330 MagnaCharge 10000 mAh Magnetic Wireless Power Bank w/ 15W Wireless Charging, Metal Stand,Magnacharge Ring for iPhone and Android Phones w/Wireless Charge(Black)","1,999",3.9 out of 5 stars,300+ bought in past month
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Burgundy)","1,198",4.0 out of 5 stars,600+ bought in past month
"Portronics Luxcell Mini 10K Advanced 10000 mAh Smallest Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)","1,048",4.1 out of 5 stars,200+ bought in past month
Amazon Basics 5000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 20W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above (White),949,3.3 out of 5 stars,600+ bought in past month
Mi Power Bank Boost Pro 30000mAh 18W,"3,299",4.2 out of 5 stars,300+ bought in past month
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Blue)",899,3.8 out of 5 stars,300+ bought in past month
"Ambrane 10000mAh Slimmest & Compact (Pocket/Bag Friendly) Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Powerlit, Black)","1,199",4.0 out of 5 stars,400+ bought in past month
"Ambrane 10000mAh Magnetic Wireless Power Bank with Stand, 15W Wireless Fast Charging, Compact 22.5W PD Wired Charger, Compatible with iPhone 12/13/14/15 & Other Wireless Devices (Aerosync PB10,Black)","1,899",3.0 out of 5 stars,800+ bought in past month
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Black)",668,3.0 out of 5 stars,400+ bought in past month
"boAt Pocket Energyshroom PB300 Pro 10000mAh | Compact Power Bank, Type-C Input (2-Way Port), 2X Output Ports, 2-Way 22.5W Fast Charging, Pass-Through Charging(Carbon Black)","1,399",4.0 out of 5 stars,300+ bought in past month
"Spigen ArcPack 20000mAh Power Bank | PD 3.0 Fast Carging | 22.5W Max Output | 2 Type-C Ports, 1 USB-A Port - (ABS + PC | Navy Blue)","2,163",4.2 out of 5 stars,50+ bought in past month
"Portronics Luxcell Bind Mini 10k 10000mAh Powerbank with 22.5W Fast Charging, in-Built Type C PD(Input & Output) /8 Pin Cable, LED Indicator, USB-A Mach Output, Compatible with Smartphones,Tablets","1,149",4.1 out of 5 stars,200+ bought in past month
"Ambrane 27000mAh Powerbank, 20W Fast Charging, Triple Output (2 USB & 1 Type C), PD, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo Pro 27K, Black)","2,399",3.9 out of 5 stars,500+ bought in past month
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)","1,599",4.6 out of 5 stars,400+ bought in past month
"Anker 322 Magnetic Wireless Power Bank (MagGo), 5,000 mAh, with 12W USB C Output, with Mobile Stand, Compatible with iPhone15/15+/15 pro/15 pro max/ 14/13/12 & Android Series - White","1,099",3.4 out of 5 stars,500+ bought in past month
"Ambrane 85W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 20,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra lite, Black)","3,999",4.0 out of 5 stars,500+ bought in past month
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Yellow)",789,3.9 out of 5 stars,300+ bought in past month
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"3,499",3.8 out of 5 stars,300+ bought in past month
